iter	Passed	Remaining
0	1	120
1	2	109
2	3	114
3	4	107
4	5	110
5	7	112
6	8	113
7	10	119
8	11	115
9	12	111
10	13	108
11	14	105
12	15	102
13	16	100
14	17	98
15	19	101
16	20	99
17	21	97
18	22	96
19	23	94
20	24	92
21	25	91
22	26	89
23	27	87
24	28	85
25	29	84
26	30	82
27	31	81
28	32	80
29	34	79
30	35	79
31	36	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	71
37	43	70
38	44	69
39	45	68
40	46	66
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	59	52
53	60	51
54	60	49
55	62	49
56	64	48
57	65	47
58	66	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	93	20
82	94	19
83	95	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	114	0
